donor,status,NA,clustering,qc_num_umi,qc_num_reads,qc_mean_reads_per_umi,qc_std_reads_per_umi,qc_mapped_reads,qc_genome_not_gene,qc_unmapped_reads,qc_umi_corrected,qc_barcode_corrected,fineclusters
donor_3,control,PST45044_CSF,CD4_Tc,8730,54700,6.26575028637,4.94605403235,0.472943327239,0.376014625229,0.151042047532,0.0064168190128,0.026873857404,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,3782,24600,6.5044949762,5.10304874324,0.513495934959,0.340284552846,0.146219512195,0.0069512195122,0.0283333333333,Tc_4
donor_3,control,PST45044_CSF,CD4_Tc,4419,28652,6.48381986875,5.05384302901,0.498115314812,0.358788217227,0.14309646796,0.00540974452045,0.0288636046349,Tc_2
donor_3,control,PST45044_CSF,CD4_Tc,14960,101256,6.76844919786,5.05023833906,0.560826025124,0.30287587896,0.136298095915,0.00810816149166,0.0297365094414,Tc_6
donor_3,control,PST45044_CSF,CD4_Tc,6342,38754,6.11069063387,4.68810019319,0.530887134231,0.321308768127,0.147804097642,0.0072250606389,0.0270165660319,Tc_3
donor_3,control,PST45044_CSF,nCD8_Tc,4350,28949,6.65494252874,5.24627053281,0.473798749525,0.370720923003,0.155480327472,0.00507789560952,0.0292928944005,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,3623,23730,6.54982059067,4.87991515186,0.597724399494,0.272608512432,0.129667088074,0.00842815002107,0.028402865571,Tc_4
donor_3,control,PST45044_CSF,CD4_Tc,8993,56393,6.27076615145,4.70749955848,0.507669391591,0.350203039384,0.142127569025,0.00588725551044,0.0252336282872,Tc_3
donor_3,control,PST45044_CSF,CD4_Tc,4809,29864,6.21002287378,4.80012039023,0.537135012055,0.315463434235,0.14740155371,0.00552504687919,0.0228703455666,Tc_2
donor_3,control,PST45044_CSF,nCD8_Tc,3577,21905,6.12384679899,4.68976394599,0.525131248573,0.326957315681,0.147911435745,0.00771513353116,0.0279388267519,nCD8
donor_3,control,PST45044_CSF,CD4_Tc,4499,32344,7.18915314514,5.61543699573,0.496599060104,0.364766262676,0.13863467722,0.0072347266881,0.0408112787534,Tc_4
donor_3,control,PST45044_CSF,CD4_Tc,5083,36025,7.08734999016,5.34417955692,0.52160999306,0.329632199861,0.148757807078,0.00574600971548,0.0355308813324,Tc_4
donor_3,control,PST45044_CSF,pDC,9322,64647,6.93488521776,5.25348725586,0.491716552972,0.361934815227,0.1463486318,0.00578526459078,0.0363203242223,pDC
